Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1486742160,2/10/2017 8:56 AM,  -,  -,N/A%,29.93 in,  -,SW,13.8 mph,  -,N/A,	 ,Clear
1486745760,2/10/2017 9:56 AM,  -,  -,N/A%,29.93 in,  -,SW,18.4 mph,24.2 mph,N/A,	 ,Clear
1486749360,2/10/2017 10:56 AM,  -,  -,N/A%,29.93 in,  -,WSW,20.7 mph,  -,N/A,	 ,Clear
1486752960,2/10/2017 11:56 AM,  -,  -,N/A%,29.90 in,  -,WSW,17.3 mph,21.9 mph,N/A,	 ,Clear
1486756560,2/10/2017 12:56 PM,  -,  -,N/A%,29.87 in,  -,NNE,5.8 mph,  -,N/A,	 ,Clear
1486758120,2/10/2017 1:22 PM,  -,  -,N/A%,29.86 in,  -,West,10.4 mph,23.0 mph,N/A,	 ,Clear
1486760160,2/10/2017 1:56 PM,  -,  -,N/A%,29.85 in,  -,West,28.8 mph,35.7 mph,N/A,	 ,Clear
1486763760,2/10/2017 2:56 PM,  -,  -,N/A%,29.85 in,  -,WSW,21.9 mph,32.2 mph,N/A,	 ,Clear
1486767360,2/10/2017 3:56 PM,  -,  -,N/A%,29.86 in,  -,West,16.1 mph,24.2 mph,N/A,	 ,Clear
1486770960,2/10/2017 4:56 PM,  -,  -,N/A%,29.88 in,  -,West,18.4 mph,24.2 mph,N/A,	 ,Clear
1486774560,2/10/2017 5:56 PM,  -,  -,N/A%,29.90 in,  -,West,11.5 mph,  -,N/A,	 ,Clear
1486778160,2/10/2017 6:56 PM,  -,  -,N/A%,29.92 in,  -,West,9.2 mph,  -,N/A,	 ,Clear
1486781760,2/10/2017 7:56 PM,  -,  -,N/A%,29.92 in,  -,East,3.5 mph,  -,N/A,	 ,Clear
1486785360,2/10/2017 8:56 PM,  -,  -,N/A%,29.93 in,  -,North,5.8 mph,  -,N/A,	 ,Clear
1486788960,2/10/2017 9:56 PM,  -,  -,N/A%,29.93 in,  -,Variable,4.6 mph,  -,N/A,	 ,Clear
1486792560,2/10/2017 10:56 PM,  -,  -,N/A%,29.91 in,  -,WNW,8.1 mph,19.6 mph,0.00 in,	 ,Clear
1486796160,2/10/2017 11:56 PM,  -,  -,N/A%,29.91 in,  -,East,10.4 mph,  -,N/A,	 ,Clear
1486626960,2/9/2017 12:56 AM,  -,  -,N/A%,30.08 in,  -,WSW,9.2 mph,  -,N/A,	 ,Clear
1486630560,2/9/2017 1:56 AM,  -,  -,N/A%,30.08 in,  -,WSW,10.4 mph,  -,N/A,	 ,Clear
1486634160,2/9/2017 2:56 AM,  -,  -,N/A%,30.07 in,  -,SW,10.4 mph,  -,N/A,	 ,Clear
1486637760,2/9/2017 3:56 AM,  -,  -,N/A%,30.07 in,  -,Calm,Calm,  -,N/A,	 ,Clear
1486641360,2/9/2017 4:56 AM,  -,  -,N/A%,30.08 in,  -,WSW,13.8 mph,  -,N/A,	 ,Clear
1486644960,2/9/2017 5:56 AM,  -,  -,N/A%,30.08 in,  -,SSW,8.1 mph,  -,N/A,	 ,Clear
1486648560,2/9/2017 6:56 AM,  -,  -,N/A%,30.10 in,  -,SSW,9.2 mph,  -,N/A,	 ,Clear
1486652160,2/9/2017 7:56 AM,  -,  -,N/A%,30.10 in,  -,WSW,8.1 mph,  -,N/A,	 ,Clear
1486655760,2/9/2017 8:56 AM,  -,  -,N/A%,30.12 in,  -,WSW,11.5 mph,  -,N/A,	 ,Clear
1486659360,2/9/2017 9:56 AM,  -,  -,N/A%,30.11 in,  -,SW,12.7 mph,  -,N/A,	 ,Clear
1486662960,2/9/2017 10:56 AM,  -,  -,N/A%,30.09 in,  -,WSW,15.0 mph,  -,N/A,	 ,Clear
